AcresBurned,AdminUnit,ConditionStatement,Counties,CountyIds,Extinguished,Injuries,Latitude,Longitude,Location,Name,PercentContained,PersonnelInvolved,SearchDescription,Status,UniqueId,ArchiveYear,Started,Ended,Cord,Fahrenheit,Month_Number,Month
1806.0,Ventura County Fire Department,"Evacuation Information: <a href= ""https://twitter.com/VCFD_PIO"">https://twitter.com/VCFD_PIO</a>",Ventura,56,2019-11-02T18:57:00Z,,34.282179,-118.803389,"West Easy Street and West Los Angeles Avenue, Simi Valley",Easy Fire,100.0,,"The Easy Fire started October 30, 2019 off West Easy Street and West Los Angeles Avenue, Simi Valley in Ventura County",Finalized,00e6d6d5-f168-45fa-817a-f7758a5170b7,2019,10,11,"(34.282179, -118.803389)",60.1,10.0,October
1300.0,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa,22,,,37.536069,-120.17701799999999,"Mt Gaines Rd and Bear Valley Rd, Bear Valley",Gaines Fire,100.0,,"The Gaines Fire started on August 16, 2019 off Mt Gaines Rd and Bear Valley Rd, in Bear Valley in Mariposa County.",Finalized,547b7d19-9b75-4c11-8b88-56adb6460a3c,2019,8,10,"(37.536069, -120.17701799999999)",73.4,8.0,August
1011.0,"Unified Command: CAL FIRE/Riverside County Fire Department, City of Calimesa and City of Yucaipa","For evacuation and road closure information
<a href=""http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4517""> click here</a>",Riverside,33,,,33.9925,-117.05916699999999,Calimesa Boulevard and Sandalwood Drive,Sandalwood Fire,100.0,247.0,"The Sandalwood Fire started October 10, 2019 off Calimesa Boulevard and Sandalwood Drive in Riverside County.",Finalized,7ff84b11-c3fb-4f5c-8a00-07243d4a4e33,2019,10,11,"(33.9925, -117.05916699999999)",68.6,10.0,October
605.0,CAL FIRE Tehama-Glenn Unit,,Tehama,52,2019-10-28T07:22:00Z,,40.001709999999996,-122.25421000000001,"Gyle Road and Long Dirt Road, Northwest of Corning",Rawson Fire,100.0,,"The Rawson Fire started October 27, 2019 off Gyle Road and Long Dirt Road, Northwest of Corning in Tehama County.",Finalized,828b2492-fc44-4fc0-97fa-f0b439e6fa0d,2019,10,10,"(40.001709999999996, -122.25421000000001)",59.2,10.0,October
494.0,CAL FIRE Riverside County Fire Department ,"Mandatory evacuations and road closures are in place:
 <a href=""http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523""> http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523</a>",Riverside,33,2019-11-02T18:44:00Z,,34.01778,-117.4625,"Granite Hill and Pyrite Street, in Jurupa Valley ",Hill Fire ,100.0,126.0,"Hill Fire started on October 30, 2019 off of Granite Hill and Pyrite Street, in Jurupa Valley in Riverside County.",Finalized,8f23653c-1a4c-4609-bfb3-72b1665eab69,2019,10,11,"(34.01778, -117.4625)",68.6,10.0,October
355.0,CAL FIRE Nevada-Yuba-Placer Unit,,Placer,31,,,38.838992,-121.325842,"Foothills and McAnally Drive, northwest of Roseville",Foothills Fire,100.0,,"The Foothill Fire started November 25, 2019 off Foothills and McAnally Dr., northwest of Roseville in Placer county.",Finalized,77d64e4c-a50f-4f4d-a750-e6a6f0ddadc9,2019,11,11,"(38.838992, -121.325842)",49.5,11.0,November
289.0,CAL FIRE San Benito-Monterey Unit and CAL FIRE San Luis Obispo Unit,,Monterey,"27,40",2019-10-11T07:30:00Z,,35.790690000000005,-120.73102,Indian Valley Road and Monterey County Line near Camp Robert's,Cross Fire,100.0,,"The Cross Fire started October 8, 2019 off Indian Valley Road and Monterey County Line near Camp Robert's in Monterey and San Luis Obispo Counties.",Finalized,207f72f7-1453-40dc-919e-3551f7041b22,2019,10,10,"(35.790690000000005, -120.73102)",61.6,10.0,October
289.0,CAL FIRE San Benito-Monterey Unit and CAL FIRE San Luis Obispo Unit,,San Luis Obispo,"27,40",2019-10-11T07:30:00Z,,35.790690000000005,-120.73102,Indian Valley Road and Monterey County Line near Camp Robert's,Cross Fire,100.0,,"The Cross Fire started October 8, 2019 off Indian Valley Road and Monterey County Line near Camp Robert's in Monterey and San Luis Obispo Counties.",Finalized,207f72f7-1453-40dc-919e-3551f7041b22,2019,10,10,"(35.790690000000005, -120.73102)",62.0,10.0,October
149.0,CAL FIRE Madera-Mariposa-Merced Unit,,Mariposa,22,,,37.241427,-120.027731," Old Hwy and Guadalupe, East of Mariposa",Valley Fire,100.0,,"The Valley Fire started July 21, 2019 off Old Hwy and Guadalupe, East of Mariposa in Mariposa County.",Finalized,f8a2fd4a-286e-4688-8a5c-fa2ad98751ab,2019,7,7,"(37.241427, -120.027731)",72.2,7.0,July
137.0,CAL FIRE Fresno-Kings Unit,,Fresno,10,2019-10-19T15:00:00Z,,36.319291,-120.46018899999999,"Los Gatos Creek Road and Joaquin Rocks Lookout Road, east of Coalinga",Mud Fire ,100.0,,"The Mud Fire started October 18, 2019 off Los Gatos Creek Road and Joaquin Rocks Lookout Road, east of Coalinga in Fresno County.",Finalized,ff8701f0-a12a-4b40-baa9-b58c4e2e31f3,2019,10,10,"(36.319291, -120.46018899999999)",56.0,10.0,October
107.0,Lassen National Forest,,Lassen,18,,,40.900458,-121.320838,"Pittville Road and Sheep Flat Road, southeast of Fall River Mills",3-2 Willow (Previously H-1 Fire),100.0,,"The H-1 fire started on August 8, 2019 at Pittville Road and Sheep Flat Road, southeast of Fall River Mills in Lassen County.",Finalized,9a9bc21f-36f5-4092-b98e-c0d584d198db,2019,8,10,"(40.900458, -121.320838)",67.3,8.0,August
75.0,CAL FIRE/Riverside County Fire Department,,Riverside,33,2019-10-12T17:22:00Z,,33.8615,-116.897333,"Wolfskill Truck Road near Silver Creek Drive, south of Banning",Wolf Fire,100.0,,"The Wolf Fire started October 10, 2019 off Wolfskill Truck Road near Silver Creek Drive, south of Banning in Riverside County.",Finalized,d37acb3f-94c8-47ef-b3da-6eb0d7353aa7,2019,10,10,"(33.8615, -116.897333)",68.6,10.0,October
40.0,City of Moraga,,Contra Costa,7,2019-10-10T12:00:00Z,,37.828267,-122.103867,"Merrill Circle N and Merrill Dr, Moraga",Merrill Fire,100.0,,"The Merrill Fire started October 10, 2019 off Merrill Circle N and Merrill Dr, Moraga in Contra Costa county.",Finalized,19578ef2-6101-45b0-a82e-db3004c3a8a5,2019,10,10,"(37.828267, -122.103867)",64.2,10.0,October
37.0,CAL FIRE San Diego County Fire,"<p> Evacuation Center: Valley Center Community Center 

<p> Evacuation Shelter :  Valley Center Middle School, 28102 N Lake Wohlford Road.

<p> Evacuation Order: All of Terrace View Ln, area West of Cool Valley Highlands, area North of Puma Trail.

<p>Evacuation has been issued please see map. <a href=""https://www.fire.ca.gov/media/9967/evacuation-grid-for-miller-fire.jpg"">Map Grid</a>

<p> Road Closures: Cole Grade Rd. is closed at the intersections of Miller Ln., Valley Center Rd., and Oak Glen Pl.

<p> Hard closures: Terrace View Lane at Cool Valley Rd, Wilhite Lane South of Puma Trail, Coyote Run at Rabbit Run, Cool Valley Highlands Rd at Cool Valley Rd",San Diego,37,2019-10-27T18:05:00Z,,33.259861,-117.02733300000001,"Miller Lane and Cole Grade Lane, North of Valley Center ",Miller Fire,100.0,100.0,,Finalized,7ff229e4-be94-4319-8916-19eb43753843,2019,10,10,"(33.259861, -117.02733300000001)",65.4,10.0,October
35.0,CAL FIRE Santa Clara Unit,,Alameda,1,2019-10-27T13:55:00Z,,37.62782,-121.68598,"Mines Rd and Del Valle Rd, southeast of Livermore",Mines Fire,100.0,,"The Mines Fire started October 25, 2019 off Mines Rd and Del Valle Rd, southeast of Livermore in Alameda County.",Finalized,87404846-bc30-41b8-82fe-31c9aedb9ef7,2019,10,10,"(37.62782, -121.68598)",62.6,10.0,October
35.0,CAL FIRE Santa Clara Unit,,Stanislaus,50,2019-07-18T10:29:00Z,,37.420988,-121.371276,"Frank Raines Park on Del Puerto Canyon Road, west of Patterson",Rains Fire,100.0,,"The Raines Fire started on July 18, 2019 in Stanislaus County.",Finalized,900997e0-f30a-48bf-9358-971ca2afa1d6,2019,7,7,"(37.420988, -121.371276)",77.4,7.0,July
30.0,CAL FIRE Shasta-Trinity Unit,,Shasta,45,,,40.463936,-122.435492,"Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda",Horse Fire,100.0,,"The Horse Fire started July 12 2019 off Blue Horse Rd and Saddle Trail, 2 miles NW of Olinda in Shasta County",Finalized,ab6d9c8e-5fbb-4a0d-a206-30e83ab51877,2019,7,7,"(40.463936, -122.435492)",73.4,7.0,July
27.0,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,5,2019-07-20T08:56:00Z,,38.115224,-120.78068,near the Whiskey Creek Day Use area of New Hogan Lake,Whiskey Fire,100.0,,,Finalized,17596a7a-31fc-4270-8aaf-efe1df3ba848,2019,7,7,"(38.115224, -120.78068)",74.8,7.0,July
